transaction_id,customer_id,transaction_date,transaction_time,merchant,transaction_amount,location,payment_method,account_age_days,fraud_flag
T000026,C0005,2026-03-04,12:34,Publix,142.85,Atlanta GA,Credit Card,300,0
T000027,C0093,2026-03-02,19:12,CVS,125.28,Miami FL,Debit Card,223,0
T000028,C0013,2026-01-07,09:03,Best Buy,208.5,Jonesboro GA,Debit Card,854,0
T000029,C0094,2026-03-10,20:08,Publix,99.84,Atlanta GA,Credit Card,894,0
T000030,C0024,2026-01-10,20:51,Shell,437.87,Savannah GA,Credit Card,1794,0
T000031,C0071,2026-01-31,11:26,Target,484.65,Atlanta GA,Credit Card,1024,0
T000032,C0062,2026-01-01,18:16,Amazon,86.5,Savannah GA,Credit Card,1927,0
T000033,C0059,2026-02-07,12:03,Shell,81.62,Savannah GA,Debit Card,1216,0
T000034,C0095,2026-03-16,21:32,Home Depot,33.3,Atlanta GA,Debit Card,1912,0
T000035,C0068,2026-01-09,08:43,Starbucks,426.41,Atlanta GA,Credit Card,1795,0
T000036,C0031,2026-01-06,08:26,Best Buy,291.56,Atlanta GA,Credit Card,1376,0
T000037,C0075,2026-01-27,16:15,CVS,467.68,Miami FL,Debit Card,573,0
T000038,C0051,2026-01-10,06:29,Starbucks,231.33,Charlotte NC,Debit Card,1302,0
T000039,C0073,2026-01-17,17:56,Target,255.41,Atlanta GA,Credit Card,170,0
T000040,C0032,2026-03-11,15:39,Publix,221.9,Jonesboro GA,Credit Card,1682,0
T000041,C0084,2026-01-14,10:16,Home Depot,466.22,Atlanta GA,Debit Card,266,0
T000042,C0014,2026-01-27,16:13,Home Depot,144.47,Marietta GA,Debit Card,1437,0
T000043,C0082,2026-01-07,08:40,Shell,129.31,Miami FL,Debit Card,897,0
T000044,C0036,2026-03-23,14:10,Walmart,386.7,Atlanta GA,Debit Card,1548,0
T000045,C0057,2026-01-15,08:56,Home Depot,282.65,Charlotte NC,Debit Card,1445,0
T000046,C0020,2026-01-19,19:08,Home Depot,293.34,Atlanta GA,Debit Card,115,0
T000047,C0040,2026-02-01,09:22,Publix,108.99,Atlanta GA,Debit Card,1627,0
T000048,C0072,2026-01-31,11:51,Best Buy,463.25,Miami FL,Credit Card,1690,0
T000049,C0023,2026-02-12,19:51,Best Buy,369.6,Atlanta GA,Credit Card,1401,0
T000050,C0095,2026-01-14,18:55,Amazon,394.75,Jonesboro GA,Credit Card,109,0
T000051,C0061,2026-01-30,13:01,Amazon,178.08,Marietta GA,Debit Card,1381,0
T000052,C0025,2026-02-05,17:41,Best Buy,432.85,Jonesboro GA,Debit Card,1073,0
T000053,C0052,2026-02-03,11:37,Home Depot,62.09,Jonesboro GA,Credit Card,573,0
T000054,C0005,2026-02-10,19:38,Target,176.12,Miami FL,Debit Card,1077,0
T000055,C0015,2026-02-25,06:33,Best Buy,131.09,Miami FL,Credit Card,1925,0
T000056,C0069,2026-03-27,16:39,Amazon,39.64,Jonesboro GA,Debit Card,672,0
T000057,C0085,2026-03-27,19:20,Target,256.03,Charlotte NC,Debit Card,854,0
T000058,C0090,2026-03-27,18:43,Shell,99.96,Miami FL,Credit Card,1562,0
T000059,C0023,2026-01-01,15:18,CVS,206.01,Miami FL,Debit Card,460,0
T000060,C0056,2026-02-26,12:32,CVS,235.17,Miami FL,Debit Card,999,0
T000061,C0095,2026-03-26,16:05,Starbucks,145.47,Charlotte NC,Credit Card,1706,0
T000062,C0097,2026-01-26,10:01,Amazon,116.2,Charlotte NC,Debit Card,124,0
T000063,C0032,2026-03-22,12:45,PetSmart,230.43,Miami FL,Credit Card,1456,0
T000064,C0050,2026-03-30,06:57,PetSmart,78.05,Savannah GA,Credit Card,1567,0
T000065,C0099,2026-03-31,22:29,Target,92.06,Savannah GA,Credit Card,132,0
T000066,C0072,2026-03-01,22:35,Amazon,71.0,Atlanta GA,Debit Card,1249,0
T000067,C0041,2026-03-12,20:57,PetSmart,416.13,Miami FL,Debit Card,355,0
T000068,C0096,2026-03-23,14:49,PetSmart,377.13,Savannah GA,Debit Card,1622,0
T000069,C0067,2026-01-10,15:15,PetSmart,140.93,Charlotte NC,Credit Card,586,0
T000070,C0043,2026-01-30,18:44,Publix,73.5,Miami FL,Credit Card,342,0
T000071,C0091,2026-03-11,20:26,Amazon,206.76,Atlanta GA,Debit Card,157,0
T000072,C0027,2026-03-15,18:30,Best Buy,429.08,Savannah GA,Credit Card,42,0
T000073,C0046,2026-03-11,13:31,Shell,271.42,Savannah GA,Debit Card,479,0
T000074,C0035,2026-03-27,18:46,Best Buy,197.48,Savannah GA,Credit Card,368,0
T000075,C0060,2026-03-17,06:05,Starbucks,453.93,Miami FL,Credit Card,1346,0
T000076,C0055,2026-02-18,16:13,Starbucks,29.89,Savannah GA,Credit Card,961,0
T000077,C0042,2026-02-23,14:53,Publix,377.24,Savannah GA,Debit Card,197,0
T000078,C0061,2026-02-14,13:41,Walmart,499.95,Charlotte NC,Credit Card,170,0
T000079,C0100,2026-01-03,10:15,Walmart,103.68,Atlanta GA,Credit Card,288,0
T000080,C0061,2026-02-02,17:10,Target,235.19,Miami FL,Credit Card,1270,0
T000081,C0078,2026-01-04,15:36,Target,58.51,Marietta GA,Debit Card,1417,0
T000082,C0049,2026-03-30,13:06,Best Buy,42.62,Charlotte NC,Credit Card,1457,0
T000083,C0099,2026-03-14,07:22,Shell,399.13,Charlotte NC,Credit Card,1121,0
T000084,C0055,2026-02-23,21:06,Publix,11.26,Atlanta GA,Debit Card,917,0
T000085,C0047,2026-03-08,14:39,PetSmart,220.57,Charlotte NC,Credit Card,1685,0
T000086,C0069,2026-03-17,14:20,PetSmart,413.74,Savannah GA,Debit Card,1774,0
T000087,C0032,2026-03-01,18:21,Target,125.71,Jonesboro GA,Debit Card,88,0
T000088,C0064,2026-02-03,16:17,Publix,110.0,Marietta GA,Debit Card,1832,0
T000089,C0077,2026-01-25,08:15,Shell,260.73,Miami FL,Credit Card,1504,0
T000090,C0053,2026-03-24,21:28,PetSmart,346.85,Miami FL,Credit Card,1653,0
T000091,C0003,2026-02-01,15:42,Target,205.18,Jonesboro GA,Credit Card,1221,0
T000092,C0048,2026-03-12,16:22,PetSmart,215.62,Miami FL,Debit Card,1469,0
T000093,C0059,2026-01-25,16:07,Shell,119.12,Jonesboro GA,Debit Card,1551,0
T000094,C0069,2026-02-05,22:38,Starbucks,370.61,Marietta GA,Credit Card,609,0
T000095,C0013,2026-02-08,06:45,Amazon,183.64,Jonesboro GA,Credit Card,1123,0
T000096,C0017,2026-03-31,10:40,Shell,278.91,Atlanta GA,Credit Card,1808,0
T000097,C0097,2026-03-02,21:28,PetSmart,289.16,Atlanta GA,Credit Card,727,0
T000098,C0024,2026-01-09,18:31,Walmart,61.47,Jonesboro GA,Debit Card,181,0
T000099,C0074,2026-02-08,08:15,Walmart,406.52,Marietta GA,Credit Card,272,0
T000100,C0072,2026-02-18,20:58,Best Buy,388.97,Miami FL,Credit Card,936,0
T000101,C0039,2026-01-08,09:48,CVS,286.47,Savannah GA,Debit Card,455,0
T000102,C0081,2026-01-23,23:04,Amazon,82.74,Jonesboro GA,Credit Card,350,0
T000103,C0001,2026-01-30,15:45,Best Buy,149.17,Savannah GA,Debit Card,609,0
T000104,C0090,2026-03-22,12:27,PetSmart,462.34,Atlanta GA,Credit Card,265,0
T000105,C0070,2026-01-19,08:03,Amazon,454.66,Charlotte NC,Credit Card,369,0
T000106,C0040,2026-03-01,15:44,CVS,222.38,Charlotte NC,Debit Card,854,0
T000107,C0035,2026-03-18,07:56,Home Depot,221.69,Miami FL,Debit Card,914,0
T000108,C0095,2026-01-30,06:48,Publix,17.8,Miami FL,Debit Card,1406,0
T000109,C0035,2026-03-25,20:58,CVS,237.9,Atlanta GA,Credit Card,599,0
T000110,C0024,2026-03-02,17:26,CVS,484.68,Savannah GA,Debit Card,712,0
T000111,C0042,2026-03-05,15:42,Target,208.76,Marietta GA,Debit Card,1965,0
T000112,C0052,2026-02-02,16:07,Home Depot,48.59,Atlanta GA,Debit Card,1612,0
T000113,C0052,2026-01-25,22:23,Home Depot,209.56,Atlanta GA,Debit Card,1305,0
T000114,C0097,2026-01-27,14:35,PetSmart,381.2,Charlotte NC,Debit Card,298,0
T000115,C0037,2026-03-22,13:45,PetSmart,65.11,Charlotte NC,Debit Card,354,0
T000116,C0040,2026-01-15,20:07,Home Depot,51.14,Atlanta GA,Debit Card,1356,0
T000117,C0020,2026-02-04,19:53,PetSmart,256.89,Charlotte NC,Debit Card,1018,0
T000118,C0061,2026-03-18,22:47,Amazon,194.88,Savannah GA,Credit Card,1830,0
T000119,C0018,2026-03-06,14:52,Target,173.24,Jonesboro GA,Debit Card,35,0
T000120,C0037,2026-02-27,23:30,Shell,433.3,Miami FL,Debit Card,736,0
T000121,C0043,2026-02-11,12:44,Home Depot,230.4,Miami FL,Debit Card,519,0
T000122,C0074,2026-03-02,18:24,Best Buy,26.61,Marietta GA,Debit Card,1389,0
T000123,C0084,2026-03-17,16:55,Starbucks,67.49,Savannah GA,Credit Card,235,0
T000124,C0057,2026-01-19,19:55,Target,12.6,Miami FL,Debit Card,1370,0
T000125,C0020,2026-03-30,18:41,Target,172.59,Savannah GA,Debit Card,194,0
T000126,C0043,2026-03-04,23:02,Home Depot,315.27,Savannah GA,Debit Card,1294,0
T000127,C0009,2026-01-12,19:06,Amazon,498.73,Charlotte NC,Debit Card,1587,0
T000128,C0082,2026-01-04,07:20,Target,348.53,Savannah GA,Credit Card,1660,0
T000129,C0008,2026-02-01,22:26,Shell,218.19,Jonesboro GA,Debit Card,1189,0
T000130,C0088,2026-02-18,13:31,Starbucks,44.09,Marietta GA,Credit Card,1899,0
T000131,C0075,2026-02-28,14:42,Starbucks,320.76,Marietta GA,Debit Card,49,0
T000132,C0060,2026-02-14,15:40,Shell,41.56,Charlotte NC,Credit Card,2000,0
T000133,C0055,2026-02-19,21:06,Shell,103.61,Savannah GA,Debit Card,515,0
T000134,C0049,2026-02-07,06:53,CVS,496.38,Jonesboro GA,Debit Card,1378,0
T000135,C0051,2026-03-05,15:49,Shell,455.76,Atlanta GA,Credit Card,1666,0
T000136,C0030,2026-03-21,14:43,CVS,320.13,Jonesboro GA,Credit Card,1577,0
T000137,C0093,2026-03-24,07:19,Starbucks,452.18,Charlotte NC,Credit Card,1645,0
T000138,C0057,2026-01-12,15:20,Walmart,367.52,Miami FL,Debit Card,1560,0
T000139,C0054,2026-02-16,22:32,Starbucks,394.32,Marietta GA,Credit Card,1900,0
T000140,C0035,2026-02-07,16:51,Starbucks,483.86,Jonesboro GA,Debit Card,265,0
T000141,C0060,2026-03-28,18:54,Target,430.77,Marietta GA,Credit Card,1677,0
T000142,C0072,2026-03-10,09:29,Publix,11.89,Atlanta GA,Debit Card,784,0
T000143,C0087,2026-02-17,09:43,Shell,412.1,Miami FL,Debit Card,508,0
T000144,C0061,2026-01-29,08:40,Walmart,458.05,Miami FL,Debit Card,1717,0
T000145,C0060,2026-01-06,07:19,Shell,62.75,Charlotte NC,Debit Card,1038,0
T000146,C0015,2026-02-17,23:26,Target,197.38,Marietta GA,Credit Card,1232,0
T000147,C0096,2026-03-20,19:17,Starbucks,417.68,Savannah GA,Credit Card,97,0
T000148,C0089,2026-01-31,17:06,Publix,225.12,Marietta GA,Debit Card,1434,0
T000149,C0048,2026-02-05,12:07,Home Depot,34.97,Charlotte NC,Debit Card,1973,0
T000150,C0059,2026-03-18,06:03,Target,322.64,Charlotte NC,Credit Card,1641,0
T000151,C0043,2026-03-12,12:37,Amazon,38.96,Marietta GA,Credit Card,472,0
T000152,C0030,2026-01-19,10:34,Publix,142.25,Marietta GA,Credit Card,543,0
T000153,C0023,2026-02-15,13:37,Target,70.24,Charlotte NC,Credit Card,693,0
T000154,C0003,2026-02-23,22:07,Starbucks,67.75,Jonesboro GA,Credit Card,1557,0
T000155,C0009,2026-01-14,20:32,PetSmart,259.05,Savannah GA,Debit Card,483,0
T000156,C0079,2026-01-04,07:30,Walmart,231.73,Charlotte NC,Debit Card,1765,0
T000157,C0052,2026-02-26,08:57,Best Buy,247.68,Charlotte NC,Credit Card,195,0
T000158,C0042,2026-03-21,23:45,CVS,67.46,Marietta GA,Credit Card,695,0
T000159,C0049,2026-03-19,19:06,CVS,229.59,Miami FL,Debit Card,1654,0
T000160,C0090,2026-01-30,19:21,Target,217.88,Charlotte NC,Credit Card,1724,0
T000161,C0059,2026-02-10,14:23,Best Buy,159.71,Savannah GA,Credit Card,1982,0
T000162,C0020,2026-01-12,19:06,PetSmart,416.73,Atlanta GA,Credit Card,1554,0
T000163,C0095,2026-03-13,23:21,Publix,295.3,Marietta GA,Credit Card,1402,0
T000164,C0016,2026-01-07,15:38,Best Buy,434.71,Jonesboro GA,Debit Card,669,0
T000165,C0046,2026-03-03,13:54,Target,81.59,Miami FL,Credit Card,251,0
T000166,C0045,2026-03-15,13:51,Home Depot,382.49,Jonesboro GA,Credit Card,908,0
T000167,C0072,2026-03-26,14:01,CVS,306.45,Miami FL,Credit Card,399,0
T000168,C0035,2026-01-19,18:04,Shell,8.02,Jonesboro GA,Debit Card,320,0
T000169,C0095,2026-02-28,16:10,Walmart,191.22,Atlanta GA,Credit Card,787,0
T000170,C0040,2026-01-20,11:48,Publix,442.25,Miami FL,Credit Card,1295,0
T000171,C0007,2026-03-04,20:26,Target,332.66,Jonesboro GA,Debit Card,589,0
T000172,C0028,2026-02-06,21:33,Home Depot,217.81,Atlanta GA,Debit Card,1396,0
T000173,C0040,2026-01-08,06:13,Walmart,492.3,Marietta GA,Debit Card,647,0
T000174,C0028,2026-01-01,21:47,Starbucks,167.42,Jonesboro GA,Debit Card,911,0
T000175,C0023,2026-03-27,17:04,Starbucks,252.63,Savannah GA,Credit Card,843,0
T000176,C0095,2026-01-10,16:36,Walmart,232.58,Savannah GA,Credit Card,909,0
T000177,C0074,2026-02-21,06:20,Best Buy,148.31,Charlotte NC,Debit Card,381,0
T000178,C0080,2026-01-14,13:27,PetSmart,48.62,Charlotte NC,Debit Card,1236,0
T000179,C0052,2026-02-13,13:21,Home Depot,435.91,Atlanta GA,Debit Card,1625,0
T000180,C0022,2026-01-25,17:22,Target,267.65,Miami FL,Credit Card,1519,0
T000181,C0083,2026-01-26,11:38,Starbucks,77.49,Marietta GA,Credit Card,343,0
T000182,C0098,2026-03-14,20:43,Target,234.66,Marietta GA,Debit Card,1922,0
T000183,C0073,2026-01-09,21:28,CVS,79.72,Jonesboro GA,Debit Card,1323,0
T000184,C0039,2026-01-10,15:29,Shell,179.21,Miami FL,Credit Card,955,0
T000185,C0005,2026-01-12,22:24,Walmart,42.98,Jonesboro GA,Debit Card,977,0
T000186,C0075,2026-03-15,12:20,Home Depot,227.62,Charlotte NC,Credit Card,1269,0
T000187,C0061,2026-02-13,08:32,Home Depot,228.01,Marietta GA,Credit Card,1353,0
T000188,C0023,2026-03-09,22:39,Walmart,495.54,Marietta GA,Debit Card,355,0
T000189,C0047,2026-02-13,07:50,Publix,207.34,Jonesboro GA,Debit Card,1322,0
T000190,C0083,2026-03-28,18:18,Publix,51.78,Atlanta GA,Debit Card,546,0
T000191,C0093,2026-03-26,10:58,CVS,45.34,Marietta GA,Debit Card,746,0
T000192,C0040,2026-02-18,16:52,Best Buy,158.24,Marietta GA,Credit Card,291,0
T000193,C0086,2026-01-03,17:19,Home Depot,256.7,Atlanta GA,Debit Card,399,0
T000194,C0028,2026-01-18,10:04,Publix,117.14,Savannah GA,Credit Card,635,0
T000195,C0013,2026-03-21,10:38,Home Depot,332.65,Miami FL,Credit Card,801,0
T000196,C0020,2026-01-06,19:23,Starbucks,361.99,Marietta GA,Credit Card,1415,0
T000197,C0093,2026-02-27,13:34,Amazon,377.43,Savannah GA,Debit Card,519,0
T000198,C0040,2026-03-15,20:29,PetSmart,340.76,Marietta GA,Debit Card,1605,0
T000199,C0037,2026-01-26,10:55,Best Buy,483.3,Miami FL,Debit Card,542,0
T000200,C0007,2026-03-08,09:18,PetSmart,357.14,Jonesboro GA,Credit Card,201,0
T000201,C0098,2026-01-19,19:05,Starbucks,453.13,Jonesboro GA,Debit Card,1968,0
T000202,C0029,2026-02-20,22:23,PetSmart,210.37,Jonesboro GA,Credit Card,512,0
T000203,C0050,2026-01-13,16:50,Target,18.95,Jonesboro GA,Credit Card,329,0
T000204,C0018,2026-01-18,21:28,Walmart,349.56,Jonesboro GA,Debit Card,1290,0
T000205,C0001,2026-01-20,23:46,Target,111.75,Atlanta GA,Debit Card,1276,0
T000206,C0068,2026-01-16,07:15,Best Buy,122.63,Atlanta GA,Debit Card,889,0
T000207,C0082,2026-03-05,23:01,CVS,59.87,Savannah GA,Credit Card,1324,0
T000208,C0066,2026-01-01,17:15,CVS,149.18,Marietta GA,Credit Card,1198,0
T000209,C0054,2026-02-16,08:33,Starbucks,264.12,Charlotte NC,Credit Card,1144,0
T000210,C0065,2026-03-02,07:40,Home Depot,198.27,Miami FL,Credit Card,822,0
T000211,C0048,2026-01-09,17:15,Shell,181.76,Charlotte NC,Credit Card,1531,0
T000212,C0085,2026-02-15,23:21,Target,71.04,Miami FL,Debit Card,1696,0
T000213,C0083,2026-03-03,11:51,Starbucks,490.51,Charlotte NC,Debit Card,306,0
T000214,C0009,2026-01-26,07:20,PetSmart,104.79,Atlanta GA,Debit Card,1941,0
T000215,C0040,2026-03-24,12:18,Home Depot,130.39,Savannah GA,Debit Card,761,0
T000216,C0100,2026-02-17,19:56,Walmart,140.24,Charlotte NC,Debit Card,849,0
T000217,C0096,2026-03-05,21:23,PetSmart,486.99,Savannah GA,Debit Card,1922,0
T000218,C0067,2026-03-19,11:34,Shell,44.07,Atlanta GA,Debit Card,631,0
T000219,C0042,2026-02-09,20:38,Target,332.16,Atlanta GA,Debit Card,1499,0
T000220,C0055,2026-01-06,17:39,Starbucks,179.02,Charlotte NC,Debit Card,920,0
T000221,C0036,2026-03-28,11:01,Walmart,184.84,Atlanta GA,Debit Card,322,0
T000222,C0078,2026-03-24,17:23,PetSmart,38.28,Atlanta GA,Credit Card,814,0
T000223,C0073,2026-02-17,17:28,Walmart,341.14,Miami FL,Credit Card,1592,0
T000224,C0010,2026-03-25,14:15,CVS,202.03,Marietta GA,Debit Card,1997,0
T000225,C0015,2026-02-19,23:07,Walmart,252.03,Charlotte NC,Credit Card,566,0
T000226,C0100,2026-03-20,15:44,Shell,111.21,Charlotte NC,Debit Card,1906,0
T000227,C0063,2026-02-27,11:57,Amazon,427.15,Atlanta GA,Credit Card,1490,0
T000228,C0057,2026-01-09,23:34,Target,335.58,Charlotte NC,Debit Card,624,0
T000229,C0039,2026-03-07,13:07,Starbucks,397.88,Charlotte NC,Credit Card,441,0
T000230,C0018,2026-03-15,17:29,Amazon,183.64,Savannah GA,Credit Card,1675,0
T000231,C0071,2026-02-20,21:33,Starbucks,37.55,Miami FL,Credit Card,871,0
T000232,C0099,2026-02-10,08:28,Best Buy,67.04,Miami FL,Credit Card,984,0
T000233,C0088,2026-03-12,11:49,Home Depot,439.59,Jonesboro GA,Credit Card,294,0
T000234,C0056,2026-02-08,11:10,Home Depot,261.46,Atlanta GA,Credit Card,690,0
T000235,C0091,2026-02-02,12:40,Amazon,423.74,Jonesboro GA,Debit Card,1988,0
T000236,C0071,2026-01-12,22:41,Shell,309.14,Marietta GA,Debit Card,375,0
T000237,C0076,2026-03-19,16:53,CVS,331.07,Marietta GA,Credit Card,1922,0
T000238,C0073,2026-03-24,14:41,Walmart,27.5,Atlanta GA,Credit Card,461,0
T000239,C0099,2026-03-22,23:18,CVS,251.53,Savannah GA,Credit Card,1344,0
T000240,C0039,2026-01-10,07:10,PetSmart,152.23,Marietta GA,Debit Card,930,0
T000241,C0054,2026-01-19,16:55,PetSmart,173.4,Savannah GA,Credit Card,1501,0
T000242,C0041,2026-03-07,23:06,Publix,381.53,Savannah GA,Credit Card,683,0
T000243,C0031,2026-01-19,09:03,PetSmart,227.55,Atlanta GA,Debit Card,624,0
T000244,C0050,2026-01-21,16:59,CVS,481.53,Savannah GA,Credit Card,1213,0
T000245,C0093,2026-03-07,20:31,Publix,251.64,Marietta GA,Credit Card,1830,0
T000246,C0040,2026-03-06,20:15,PetSmart,472.89,Atlanta GA,Credit Card,470,0
T000247,C0075,2026-03-18,21:18,Publix,144.27,Atlanta GA,Credit Card,1129,0
T000248,C0002,2026-02-16,18:23,Target,441.82,Savannah GA,Credit Card,122,0
T000249,C0052,2026-02-06,08:24,Walmart,184.45,Miami FL,Credit Card,1062,0
T000250,C0058,2026-01-13,18:23,Home Depot,68.69,Jonesboro GA,Credit Card,1657,0
T000251,C0044,2026-03-07,18:32,Home Depot,103.53,Jonesboro GA,Credit Card,112,0
T000252,C0006,2026-03-08,20:09,Walmart,402.96,Marietta GA,Debit Card,1271,0
T000253,C0066,2026-03-20,15:37,Starbucks,85.44,Jonesboro GA,Debit Card,718,0
T000254,C0065,2026-02-08,21:52,Home Depot,355.83,Miami FL,Debit Card,64,0
T000255,C0048,2026-03-16,15:50,Publix,490.05,Charlotte NC,Credit Card,1870,0
T000256,C0093,2026-03-25,13:46,Walmart,136.44,Miami FL,Debit Card,135,0
T000257,C0075,2026-03-29,13:02,PetSmart,78.15,Marietta GA,Debit Card,1202,0
T000258,C0090,2026-02-23,10:26,Target,223.31,Marietta GA,Credit Card,1444,0
T000259,C0027,2026-01-08,10:33,Best Buy,437.04,Miami FL,Debit Card,454,0
T000260,C0072,2026-02-10,11:29,Publix,265.11,Charlotte NC,Debit Card,1898,0
T000261,C0069,2026-03-29,14:39,Publix,339.55,Miami FL,Debit Card,1021,0
T000262,C0025,2026-02-08,15:45,Amazon,116.31,Jonesboro GA,Debit Card,454,0
T000263,C0089,2026-02-05,15:07,PetSmart,177.66,Jonesboro GA,Debit Card,1204,0
T000264,C0087,2026-01-19,15:02,Home Depot,410.1,Savannah GA,Debit Card,619,0
T000265,C0092,2026-03-03,12:12,Target,329.71,Jonesboro GA,Debit Card,1725,0
T000266,C0069,2026-03-20,13:15,Shell,72.95,Miami FL,Debit Card,133,0
T000267,C0086,2026-02-22,16:45,Home Depot,30.98,Marietta GA,Credit Card,997,0
T000268,C0013,2026-03-02,21:41,Starbucks,206.42,Atlanta GA,Credit Card,438,0
T000269,C0097,2026-01-12,13:34,Shell,324.72,Jonesboro GA,Debit Card,1542,0
T000270,C0093,2026-01-23,07:53,Walmart,441.71,Marietta GA,Debit Card,843,0
T000271,C0064,2026-01-02,15:36,Starbucks,438.99,Charlotte NC,Debit Card,1264,0
T000272,C0014,2026-03-11,22:31,Publix,494.6,Jonesboro GA,Debit Card,1851,0
T000273,C0018,2026-01-15,16:10,Home Depot,100.44,Savannah GA,Debit Card,1527,0
T000274,C0059,2026-02-13,15:36,Shell,11.97,Charlotte NC,Credit Card,1411,0
T000275,C0097,2026-03-07,16:05,Amazon,414.36,Marietta GA,Debit Card,850,0
T000276,C0086,2026-02-01,06:16,Target,241.34,Marietta GA,Credit Card,815,0
T000277,C0031,2026-03-15,06:16,PetSmart,154.46,Jonesboro GA,Debit Card,1368,0
T000278,C0047,2026-01-21,18:43,Amazon,235.37,Atlanta GA,Credit Card,1059,0
T000279,C0091,2026-02-07,17:39,Shell,321.16,Charlotte NC,Credit Card,482,0
T000280,C0029,2026-03-19,17:26,Starbucks,230.21,Savannah GA,Credit Card,1467,0
T000281,C0071,2026-03-29,08:33,PetSmart,382.12,Miami FL,Credit Card,944,0
T000282,C0068,2026-03-12,22:12,Publix,35.57,Atlanta GA,Credit Card,1202,0
T000283,C0069,2026-02-26,09:43,Starbucks,427.97,Marietta GA,Debit Card,450,0
T000284,C0092,2026-02-27,07:29,CVS,449.95,Savannah GA,Credit Card,300,0
T000285,C0066,2026-03-28,15:46,Best Buy,281.6,Savannah GA,Credit Card,74,0
T000286,C0051,2026-01-06,19:22,Shell,291.26,Atlanta GA,Credit Card,1464,0
T000287,C0009,2026-03-02,07:18,Home Depot,493.14,Atlanta GA,Credit Card,867,0
T000288,C0024,2026-02-18,20:55,Starbucks,190.36,Charlotte NC,Debit Card,1908,0
T000289,C0049,2026-02-14,09:11,Best Buy,328.5,Atlanta GA,Credit Card,1130,0
T000290,C0051,2026-01-03,15:29,Home Depot,418.24,Marietta GA,Credit Card,1409,0
T000291,C0093,2026-02-01,20:22,Home Depot,412.56,Savannah GA,Debit Card,347,0
T000292,C0036,2026-03-26,19:39,Amazon,20.95,Charlotte NC,Credit Card,1598,0
T000293,C0003,2026-01-05,20:38,Amazon,54.94,Marietta GA,Credit Card,1406,0
T000294,C0091,2026-01-30,23:13,Walmart,204.12,Marietta GA,Credit Card,1574,0
T000295,C0100,2026-03-15,16:36,Walmart,120.91,Marietta GA,Debit Card,1254,0
T000296,C0099,2026-03-26,22:14,Publix,438.75,Marietta GA,Debit Card,876,0
T000297,C0039,2026-02-24,23:31,Shell,314.87,Atlanta GA,Credit Card,126,0
T000298,C0045,2026-02-22,10:19,Best Buy,349.67,Miami FL,Debit Card,800,0
T000299,C0024,2026-02-08,10:51,Home Depot,425.42,Savannah GA,Credit Card,978,0
T000300,C0008,2026-01-18,18:15,Home Depot,280.86,Savannah GA,Debit Card,552,0
T000301,C0027,2026-02-17,08:34,Publix,461.5,Charlotte NC,Credit Card,1513,0
T000302,C0025,2026-03-19,07:55,Walmart,338.47,Jonesboro GA,Debit Card,179,0
